Times,Lattice,Diktyo,TanGo,Delay-first
1,393.61999999999995,1579.8000000000002,3950.95,621.2700000000001
2,465.9299999999697,1531.8099999999745,3647.42999999997,611.2599999999511
3,417.90000000009314,1602.3000000000932,3604.5400000001305,652.0300000000512
4,417.31000000010243,1640.930000000121,3522.1200000001118,659.0600000001956
5,432.12000000011176,1570.7000000001863,3589.6200000001118,619.1600000002421
6,437.71999999955295,1499.729999999702,3515.30999999959,642.4799999997019
7,423.79999999962746,1474.2699999997392,3630.6099999995904,601.4099999995902
8,402.1999999996275,1486.429999999702,3495.30999999959,657.0399999996647
9,377.59999999962747,1461.7599999996833,3459.759999999404,656.3799999995157
10,375.90999999959024,1461.1399999992923,3473.869999999367,642.969999999553
