Times,Lattice,Lattice-woC,Lattice-woP&C,Lattice-woP
1,393.61999999999995,736.0500000000001,756.6600000000001,384.49999999999994
2,465.9299999999697,785.0999999999767,772.7099999999743,497.71999999997206
3,417.90000000009314,761.0000000000931,729.8600000000791,419.21000000010247
4,417.31000000010243,736.8500000001397,728.7300000001676,434.62000000011176
5,432.12000000011176,785.9800000001676,787.8400000002235,454.90000000009314
6,437.71999999955295,751.7899999996647,736.7999999995343,414.1999999996275
7,423.79999999962746,771.6099999997765,719.9199999998324,452.29999999962746
8,402.1999999996275,695.8399999996648,739.1199999996461,417.119999999553
9,377.59999999962747,755.7699999997392,722.3399999997579,439.90999999959024
10,375.90999999959024,717.2599999994039,675.299999999255,404.2299999995157
